ID;EDU_NAME;global_id;YEAR;AdmArea;District;PASSES_OVER_220;PASSER_UNDER_160
8295;Общеобразовательная автономная некоммерческая организация «Средняя общеобразовательная школа «ИНТЕК»;797954221;2016-2017;Западный административный округ;район Фили-Давыдково;6;9
8296;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 718»;797954359;2016-2017;Зеленоградский административный округ;район Силино;7;20
8297;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1575»;797954458;2016-2017;Северный административный округ;район Аэропорт;59;98
8298;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1570»;797954610;2016-2017;Северный административный округ;район Беговой;14;32
8299;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1592 имени героя Российской Федерации Е.Н.Чернышёва»;797954695;2016-2017;Северный административный округ;Бескудниковский район;28;45
8300;Государственное бюджетное общеобразовательное учреждение города Москвы «Вешняковская школа № 1389»;797954808;2016-2017;Восточный административный округ;район Вешняки;17;42
8301;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1512»;797954955;2016-2017;Восточный административный округ;район Вешняки;26;54
8302;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1021»;797955070;2016-2017;Восточный административный округ;район Восточный;5;22
8303;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 448»;797955198;2016-2017;Восточный административный округ;район Восточный;6;16
8304;Государственное бюджетное общеобразовательное учреждение города Москвы «Измайловская школа № 1508»;797955287;2016-2017;Восточный административный округ;район Измайлово;32;64
8305;Государственное бюджетное профессиональное образовательное учреждение города Москвы колледж автоматизации и информационных технологий № 20;797955447;2016-2017;Восточный административный округ;район Измайлово;0;0
8306;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2031»;797955616;2016-2017;Восточный административный округ;район Косино-Ухтомский;20;52
8307;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2036»;797955716;2016-2017;Восточный административный округ;район Косино-Ухтомский;40;92
8308;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1591»;797955851;2016-2017;Восточный административный округ;район Новокосино;37;74
8309;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2126 «Перово»;797955890;2016-2017;Восточный административный округ;район Перово;18;42
8310;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1080»;797956005;2016-2017;Восточный административный округ;район Преображенское;24;55
8311;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1362»;797956172;2016-2017;Восточный административный округ;район Соколиная Гора;16;41
8312;Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1404 «Гамма»;797956253;2016-2017;Восточный административный округ;район Сокольники;12;27
8313;Частное учреждение общеобразовательная организация «Европейская гимназия»;797956335;2016-2017;Восточный административный округ;район Сокольники;2;3
8314;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1440»;797956436;2016-2017;Западный административный округ;район Крылатское;35;45
8315;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1593»;797956540;2016-2017;Западный административный округ;район Крылатское;17;32
8316;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 806»;797956657;2016-2017;Западный административный округ;район Кунцево;9;29
8317;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 587»;797956782;2016-2017;Западный административный округ;Можайский район;10;22
8318;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 809»;797956872;2016-2017;Западный административный округ;Можайский район;3;19
8319;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2025»;797956978;2016-2017;Западный административный округ;район Очаково-Матвеевское;21;80
8320;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1542»;797957053;2016-2017;Западный административный округ;район Солнцево;59;126
8321;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московское среднее специальное училище олимпийского резерва № 2 (колледж)» Департамента физической культуры и спорта города Москвы»;797957165;2016-2017;Западный административный округ;район Фили-Давыдково;0;5
8322;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 854»;797957287;2016-2017;Зеленоградский административный округ;район Савёлки;9;26
8323;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 719»;797957435;2016-2017;Зеленоградский административный округ;район Старое Крюково;2;17
8324;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 656 имени А.С. Макаренко»;797957572;2016-2017;Северный административный округ;Бескудниковский район;13;46
8325;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2099»;797957695;2016-2017;Северный административный округ;Войковский район;3;24
8326;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1583 имени К. А. Керимова»;797957811;2016-2017;Северный административный округ;Головинский район;27;49
8327;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 727»;797957916;2016-2017;Северный административный округ;Головинский район;1;10
8328;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1252 имени Сервантеса»;797958011;2016-2017;Северный административный округ;район Сокол;29;54
8329;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 149 имени Героя Советского Союза Ю.Н. Зыкова»;797958112;2016-2017;Северный административный округ;район Сокол;10;25
8330;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1474»;797958230;2016-2017;Северный административный округ;район Ховрино;59;130
8331;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1409»;797958316;2016-2017;Северный административный округ;Хорошёвский район;52;89
8332;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 402 имени Алии Молдагуловой»;797958387;2016-2017;Восточный административный округ;район Вешняки;11;35
8333;Государственное бюджетное общеобразовательное учреждение города Москвы средняя общеобразовательная школа № 892;797958508;2016-2017;Восточный административный округ;район Вешняки;4;28
8334;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1352»;797958624;2016-2017;Восточный административный округ;район Гольяново;32;84
8335;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1246»;797958776;2016-2017;Восточный административный округ;район Метрогородок;19;43
8336;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 423»;797958910;2016-2017;Восточный административный округ;район Перово;8;26
8337;Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1563»;797959025;2016-2017;Восточный административный округ;район Северное Измайлово;46;73
8338;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1301 имени Е.Т. Гайдара»;797962130;2016-2017;Восточный административный округ;район Соколиная Гора;2;20
8339;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1584»;797962235;2016-2017;Западный административный округ;район Кунцево;51;76
8340;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 887»;797962328;2016-2017;Западный административный округ;район Кунцево;25;63
8341;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Западный комплекс непрерывного образования»;797962401;2016-2017;Западный административный округ;Можайский район;4;26
8342;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1541»;797962516;2016-2017;Западный административный округ;район Проспект Вернадского;31;49
8343;Государственное бюджетное общеобразовательное учреждение города Москвы «Шуваловская школа № 1448»;797962647;2016-2017;Западный административный округ;район Раменки;28;51
8344;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1436»;797962752;2016-2017;Западный административный округ;район Солнцево;7;19
8345;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1317»;797962861;2016-2017;Западный административный округ;район Тропарёво-Никулино;28;37
8346;Государственное бюджетное общеобразовательное учреждение города Москвы «Образовательный центр «Протон»;797962942;2016-2017;Западный административный округ;район Филёвский Парк;10;27
8347;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1497»;797963063;2016-2017;Западный административный округ;район Филёвский Парк;20;37
8348;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа «Интеллектуал»;797963146;2016-2017;Западный административный округ;район Фили-Давыдково;32;35
8349;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 712»;797963212;2016-2017;Западный административный округ;район Фили-Давыдково;12;19
8350;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1151»;797963289;2016-2017;Зеленоградский административный округ;район Крюково;21;61
8351;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1912 имени Бауыржана Момышулы»;797963394;2016-2017;Зеленоградский административный округ;район Крюково;23;59
8352;Автономная некомерческая организация высшего образования «Международный университет в Москве»;797963521;2016-2017;Северный административный округ;район Беговой;5;9
8353;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1550»;797963621;2016-2017;Северный административный округ;район Беговой;34;71
8354;Федеральное государственное казённое общеобразовательное учреждение «Московский кадетский корпус «Пансион воспитанниц Министерства обороны Российской Федерации»;797963759;2016-2017;Северный административный округ;район Беговой;55;88
8355;Государственное бюджетное общеобразовательное учреждение города Москвы Реабилитационно-образовательный центр № 76 Департамента труда и социальной защиты населения города Москвы;797963853;2016-2017;Северный административный округ;Головинский район;4;15
8356;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1251 имени генерала Шарля де Голля»;797963977;2016-2017;Северный административный округ;район Сокол;31;66
8357;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Технический пожарно-спасательный колледж имени Героя Российской Федерации В.М. Максимчука»;797964069;2016-2017;Северный административный округ;район Сокол;0;8
8358;Государственное казенное общеобразовательное учреждение города Москвы «Кадетская школа-интернат № 1 «Первый Московский кадетский корпус»;797964181;2016-2017;Северный административный округ;Тимирязевский район;10;56
8359;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1590 имени Героя Советского Союза В.В. Колесника»;797964268;2016-2017;Северный административный округ;район Ховрино;22;49
8360;Общеобразовательное частное учреждение «Православная классическая гимназия во имя иконы Божией Матери «Знамение» в Ховрине»;797964346;2016-2017;Северный административный округ;район Ховрино;2;5
8361;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 141 имени Героя Советского Союза Рихарда Зорге»;797964347;2016-2017;Северный административный округ;Хорошёвский район;23;48
8362;Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1797 «Богородская»;797964348;2016-2017;Восточный административный округ;район Богородское;29;73
8363;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 362»;797964349;2016-2017;Восточный административный округ;район Богородское;1;7
8364;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 810»;797964350;2016-2017;Восточный административный округ;район Вешняки;8;32
8365;Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1516»;797964361;2016-2017;Восточный административный округ;район Гольяново;36;72
8366;Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 1502 при МЭИ»;797964469;2016-2017;Восточный административный округ;район Ивановское;198;262
8367;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2128 «Энергия»;797964573;2016-2017;Восточный административный округ;район Новокосино;15;40
8368;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1269»;797964712;2016-2017;Восточный административный округ;район Перово;19;42
8369;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1852»;797964855;2016-2017;Восточный административный округ;район Перово;10;28
8370;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2033»;797965005;2016-2017;Восточный административный округ;район Северное Измайлово;21;41
8371;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 356 имени Н.З. Коляды»;797965141;2016-2017;Восточный административный округ;район Северное Измайлово;12;33
8372;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1947»;797965270;2016-2017;Восточный административный округ;район Соколиная Гора;7;22
8373;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 446»;797965422;2016-2017;Восточный административный округ;район Соколиная Гора;8;19
8374;Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский образовательный комплекс ЗАПАД»;797965517;2016-2017;Западный административный округ;район Кунцево;1;2
8375;Общеобразовательное Частное учреждение «Гимназия во имя апостола и евангелиста Иоанна Богослова»;797965669;2016-2017;Западный административный округ;район Кунцево;3;5
8376;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1400»;797965794;2016-2017;Западный административный округ;Можайский район;29;97
8377;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 384 имени Д.К. Корнеева»;797965903;2016-2017;Западный административный округ;Можайский район;5;34
8378;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1467»;797966057;2016-2017;Западный административный округ;район Ново-Переделкино;16;37
8379;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 323»;797966194;2016-2017;Западный административный округ;район Проспект Вернадского;11;34
8380;Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1434 «Раменки»;797966301;2016-2017;Западный административный округ;район Раменки;31;70
